// Old Violet Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

IG_VioletBox,501,14	// 紅色藥水
IG_VioletBox,2502,7		// 連帽披肩
IG_VioletBox,2504,7		// 披肩
IG_VioletBox,2506,7		// 斗篷
IG_VioletBox,2507,7		// 伯爵斗篷
IG_VioletBox,2508,7		// 抗魔斗篷
IG_VioletBox,2510,7		// 初學者陰險披肩
IG_VioletBox,2513,1		// 薄紗圍巾
IG_VioletBox,2514,1		// 護肩甲
IG_VioletBox,2515,1		// 老鷹之翅膀
IG_VioletBox,2601,7		// 力量戒指
IG_VioletBox,2602,7		// 智力耳環
IG_VioletBox,2603,7		// 体力項鏈
IG_VioletBox,2604,7		// 防御手套
IG_VioletBox,2605,7		// 敏捷別針
IG_VioletBox,2607,7		// 發夾
IG_VioletBox,2608,7		// 幸運珠鏈
IG_VioletBox,2609,7		// 骷髏戒指
IG_VioletBox,2610,7		// 金戒指
IG_VioletBox,2611,7		// 銀戒指
IG_VioletBox,2612,7		// 花戒指
IG_VioletBox,2613,7		// 鑽石戒指
IG_VioletBox,2614,1		// 永恒戒指
IG_VioletBox,2615,1		// 防御戒指
IG_VioletBox,2616,1		// 潛能戒指
IG_VioletBox,2617,7		// 智慧手套
IG_VioletBox,2618,7		// 黑狐項鏈
IG_VioletBox,2621,1		// 力量戒指
IG_VioletBox,2622,1		// 智力耳環
IG_VioletBox,2623,1		// 体力項鏈
IG_VioletBox,2624,1		// 防御手套
IG_VioletBox,2625,1		// 敏捷別針
IG_VioletBox,2626,1		// 幸運珠鏈
IG_VioletBox,2627,7		// 皮帶
IG_VioletBox,2628,7		// 初學者手鐲
IG_VioletBox,2652,1		// 受詛咒的幸運別針
IG_VioletBox,2654,1		// 火忍西怒畢的腰帶
IG_VioletBox,2655,1		// 血跡鐵球
IG_VioletBox,2656,1		// 過度的改變
IG_VioletBox,5002,1		// 首領冠冕
IG_VioletBox,5003,7		// 小丑帽
IG_VioletBox,5005,7		// 防毒面具
IG_VioletBox,5006,7		// 頹廢眼鏡
IG_VioletBox,5007,1		// 領導者頭箍
IG_VioletBox,5009,7		// 安全帽
IG_VioletBox,5010,7		// 印地安發箍
IG_VioletBox,5011,7		// 天線頭飾
IG_VioletBox,5014,7		// 劍士頭盔
IG_VioletBox,5015,7		// 蛋殼帽
IG_VioletBox,5017,1		// 骨制頭盔
IG_VioletBox,5030,7		// 熊貓帽
IG_VioletBox,5035,7		// 波利帽
IG_VioletBox,5037,7		// 水果皮帽
IG_VioletBox,5053,1		// 人面獅身帽
IG_VioletBox,5055,7		// 初學者蛋殼帽
IG_VioletBox,5066,1		// 惡魔女仆的角
IG_VioletBox,5072,1		// 惡魔侍者的角
IG_VioletBox,5085,1		// 紅色小發帶
IG_VioletBox,5088,7		// 嚇坏眼的假面
IG_VioletBox,5089,7		// 討厭的假面
IG_VioletBox,5090,7		// 哥布靈首領假面
IG_VioletBox,5111,1		// 啤酒企鵝之帽
IG_VioletBox,5113,1		// 憤怒的嘴
IG_VioletBox,5116,1		// 香蕉帽
IG_VioletBox,5118,1		// 小狗發圈
IG_VioletBox,5119,1		// 超級初學者之帽
IG_VioletBox,5120,1		// 軟呢帽
IG_VioletBox,7001,14	// 霉菌粉末
IG_VioletBox,7002,14	// 獸人之牙
IG_VioletBox,7003,14	// 虎蜥皮
IG_VioletBox,7004,14	// 泥團
IG_VioletBox,7005,14	// 骷髏頭
IG_VioletBox,7006,14	// 紅色蝙蝠翅膀
IG_VioletBox,7007,14	// 巨鼠指甲
IG_VioletBox,7008,14	// 鋼硬之角
IG_VioletBox,7009,14	// 彩色外皮
IG_VioletBox,7010,14	// 鐵蝎尾巴
IG_VioletBox,7011,14	// 猴子指甲
IG_VioletBox,7012,14	// 強韌鱗梗
IG_VioletBox,7013,14	// 珊瑚
IG_VioletBox,7014,14	// 破舊畫像
IG_VioletBox,7015,14	// 回憶書簽
IG_VioletBox,7016,14	// 老舊湯匙
IG_VioletBox,7026,14	// 鐘塔之鑰
IG_VioletBox,7027,14	// 鐘塔鑰匙
IG_VioletBox,7030,14	// 沙漠之狼之指甲
IG_VioletBox,7031,14	// 破舊平底鍋
IG_VioletBox,7032,14	// 蛋殼碎片
IG_VioletBox,7033,14	// 毒魔菇芽孢
IG_VioletBox,7034,14	// 破洞圣誕襪
IG_VioletBox,7035,14	// 火柴
IG_VioletBox,7036,14	// 卡侖之牙
IG_VioletBox,7038,14	// 毛線
IG_VioletBox,7041,14	// 黃晶沙的一角
IG_VioletBox,7047,14	// 愛麗絲的圍裙
IG_VioletBox,7048,14	// 獅鷲獸的指甲
IG_VioletBox,7049,14	// 石頭
IG_VioletBox,7053,14	// 賽依伐
IG_VioletBox,7054,14	// 布里刊
IG_VioletBox,7059,14	// 卡普拉倉庫免費利用券
IG_VioletBox,7060,14	// 卡普拉傳送點免費利用券
IG_VioletBox,7061,14	// 卡普拉手推車免費利用券
IG_VioletBox,7063,14	// 柔軟的羽毛
IG_VioletBox,7064,14	// 蜻蜓的翅膀
IG_VioletBox,7065,14	// 海獺的皮革
IG_VioletBox,7066,14	// 冰塊一角
IG_VioletBox,7067,14	// 石頭一角
IG_VioletBox,7068,14	// 燃燒一半的木材
IG_VioletBox,7069,14	// 破裂的盔甲一角
IG_VioletBox,7070,14	// 破裂的硬殼
IG_VioletBox,7071,14	// 破爛爛的衣服
IG_VioletBox,7072,14	// 鏽的飛鏢
IG_VioletBox,7093,14	// 齒輪
IG_VioletBox,7094,14	// 未知的碎片
IG_VioletBox,7095,14	// 金屬破片
IG_VioletBox,7096,14	// 凝固的岩漿
IG_VioletBox,7097,14	// 燃燒的心臟
IG_VioletBox,7098,14	// 火种
IG_VioletBox,7099,14	// 老舊魔法圖
IG_VioletBox,7100,14	// 尖銳的葉子
IG_VioletBox,7101,14	// 七彩大嘴鳥之羽
IG_VioletBox,7106,14	// 魔羌之角
IG_VioletBox,7107,14	// 魔羌之毛皮
IG_VioletBox,7108,14	// 盾牌的碎片
IG_VioletBox,7109,14	// 閃亮的槍錐
IG_VioletBox,7110,14	// 破裂之劍
IG_VioletBox,7111,14	// 光滑的紙
IG_VioletBox,7112,14	// 恐怖的紙刃
IG_VioletBox,7113,14	// 破碎的法老王象征
IG_VioletBox,7114,14	// 杜唐卡門面具
IG_VioletBox,7115,14	// 哈比的羽毛
IG_VioletBox,7116,14	// 哈比的指甲
IG_VioletBox,7117,14	// 撕裂的魔法書
IG_VioletBox,7118,14	// 撕裂的卷軸
IG_VioletBox,7119,14	// 菌絲
IG_VioletBox,7120,14	// 燃燒的馬蹄鐵
IG_VioletBox,7121,14	// 蜂蜜罐
IG_VioletBox,7122,14	// 炙熱的毛
IG_VioletBox,7123,14	// 龍皮
IG_VioletBox,7124,14	// 砂團
IG_VioletBox,7125,14	// 蝎子之螯
IG_VioletBox,7126,14	// 巨大杰勒比結晶
IG_VioletBox,7134,14	// 藥缽
IG_VioletBox,7135,14	// 火煙瓶
IG_VioletBox,7136,14	// 鹽酸瓶
IG_VioletBox,7137,14	// 噬人植物瓶
IG_VioletBox,7138,14	// 刺錘瓶
IG_VioletBox,7139,14	// 護貝藥
IG_VioletBox,7149,14	// 黃色碟子
IG_VioletBox,7150,14	// 竹筒
IG_VioletBox,7151,14	// 油紙
IG_VioletBox,7152,14	// 光澤的頭發
IG_VioletBox,7153,14	// 舊和服
IG_VioletBox,7154,14	// 毒粉
IG_VioletBox,7155,14	// 牛蛙之皮
IG_VioletBox,7156,14	// 破舊之手里劍
IG_VioletBox,7157,14	// 黑色覆面
IG_VioletBox,7158,14	// 破碎的酒缸
IG_VioletBox,7159,14	// 天狗的鼻子
IG_VioletBox,7161,14	// 拉鏈熊毛皮
IG_VioletBox,7162,14	// 片云
IG_VioletBox,7163,14	// 銳利的触角
IG_VioletBox,7164,14	// 石榴桃
IG_VioletBox,7165,14	// 害羞之服
IG_VioletBox,7166,14	// 柔軟的綢緞布
IG_VioletBox,7167,14	// 魔幻拉鏈
IG_VioletBox,7168,14	// 巨大翅膀
IG_VioletBox,7169,14	// 太极盤
IG_VioletBox,7171,14	// 花豹外皮
IG_VioletBox,7172,14	// 花豹指甲
IG_VioletBox,7174,14	// 緞帶
IG_VioletBox,7175,14	// 包裝紙
IG_VioletBox,7182,14	// 可可
IG_VioletBox,7186,14	// 細長梗
IG_VioletBox,7187,14	// 慶典面具
IG_VioletBox,7188,14	// 褐色樹根
IG_VioletBox,7189,14	// 樹木心臟
IG_VioletBox,7190,14	// 昆虫硬殼
IG_VioletBox,7191,14	// 紙燈籠
IG_VioletBox,7192,14	// 小風車手里刀
IG_VioletBox,7193,14	// 綠芽
IG_VioletBox,7194,14	// 柔軟的草葉
IG_VioletBox,7195,14	// 彈弓
IG_VioletBox,7196,14	// 木制護肩
IG_VioletBox,7197,14	// 強韌木藤條
IG_VioletBox,7198,14	// 巨大葉子
IG_VioletBox,7200,14	// 橡皮筋
IG_VioletBox,7201,14	// 木塊
IG_VioletBox,7202,14	// 巨象甲虫之螯
IG_VioletBox,7203,14	// 堅硬樹枝
IG_VioletBox,7205,14	// 黑色布條
IG_VioletBox,7206,14	// 黑貓娃娃
IG_VioletBox,7207,14	// 舊斗篷
IG_VioletBox,7208,14	// 生鏽廚刀
IG_VioletBox,7209,14	// 無顱武士的頭盔
IG_VioletBox,7210,14	// 無顱武士的盔甲一角
IG_VioletBox,7211,14	// 羅誡塔石頭碎片
IG_VioletBox,7212,14	// 吊頸娃娃
IG_VioletBox,7213,14	// 繡針包
IG_VioletBox,7214,14	// 蝙蝠籠子
IG_VioletBox,7215,14	// 斷針
IG_VioletBox,7216,14	// 紅色圍巾
IG_VioletBox,7217,14	// 纏線筒
IG_VioletBox,7218,14	// 腐爛的繩子
IG_VioletBox,7219,14	// 彩色襪子
IG_VioletBox,7220,14	// 綠色粘稠物
IG_VioletBox,7221,14	// 糾纏鐵鏈
IG_VioletBox,7222,14	// 原木塊
IG_VioletBox,7223,14	// 扭曲的自畫像
IG_VioletBox,7225,14	// 南瓜燈籠
IG_VioletBox,7262,14	// 折扇
IG_VioletBox,7263,14	// 貓眼石
IG_VioletBox,7264,14	// 干沙子
IG_VioletBox,7265,14	// 舞獅之角
IG_VioletBox,7266,14	// 舞獅的假牙
IG_VioletBox,7267,14	// 豹紋內褲
IG_VioletBox,7268,14	// 小鬼靈
IG_VioletBox,7269,14	// 圍兜兜
IG_VioletBox,7270,14	// 嬰儿的奶瓶
IG_VioletBox,7315,1		// 黑色水晶碎片
IG_VioletBox,7316,1		// 昆虫的長腿
IG_VioletBox,7317,1		// 生鏽的螺絲
IG_VioletBox,7318,1		// 老舊的十字鎬
IG_VioletBox,7319,1		// 老舊的鐵板
IG_VioletBox,7320,1		// 粉塵
IG_VioletBox,7321,1		// 水晶碎片
IG_VioletBox,7322,1		// 有毒瓦斯
IG_VioletBox,7323,1		// 變形水壺
IG_VioletBox,7325,1		// 軟管
IG_VioletBox,7326,1		// 熒光色的液体
IG_VioletBox,7327,1		// 怀中電燈
IG_VioletBox,7436,1		// 苦惱的碎片
IG_VioletBox,7437,1		// 悲傷的碎片
IG_VioletBox,7438,1		// 憎恨的碎片
IG_VioletBox,7439,1		// 絕望的碎片
IG_VioletBox,7440,1		// 紅色羽毛
IG_VioletBox,7441,1		// 藍色羽毛
IG_VioletBox,7442,1		// 被詛咒的印
IG_VioletBox,7443,1		// 多頭龍的首級
IG_VioletBox,7444,1		// 財寶箱
IG_VioletBox,7445,1		// 綠色龍珠
IG_VioletBox,7446,1		// 藍色龍珠
IG_VioletBox,7447,1		// 紅色龍珠
IG_VioletBox,7448,1		// 黃色龍珠
IG_VioletBox,7449,1		// 染血的書頁
IG_VioletBox,7450,1		// 骨制盔甲的碎片
IG_VioletBox,7451,1		// 脫落的紅色龍鱗
IG_VioletBox,7452,1		// 黃色香料
IG_VioletBox,7453,1		// 甜醬汁
IG_VioletBox,7454,1		// 淡醬汁
IG_VioletBox,7455,1		// 辣醬汁
IG_VioletBox,7456,1		// 紅色香料
IG_VioletBox,7457,1		// 食用油
IG_VioletBox,7472,1		// 1級烹飪書
IG_VioletBox,7473,1		// 2級烹飪書
IG_VioletBox,7474,1		// 3級烹飪書
IG_VioletBox,7475,1		// 4級烹飪書
IG_VioletBox,7476,1		// 5級烹飪書
IG_VioletBox,7477,1		// 6級烹飪書
IG_VioletBox,7478,1		// 7級烹飪書
IG_VioletBox,7479,1		// 8級烹飪書
IG_VioletBox,7480,1		// 9級烹飪書
IG_VioletBox,7481,1		// 10級烹飪書
IG_VioletBox,7482,1		// 鍋
IG_VioletBox,7512,1		// 燒焦的部品碎片
IG_VioletBox,7513,1		// 怀表
IG_VioletBox,7561,1		// 冰塊心臟
IG_VioletBox,7562,1		// 冰塊鱗片
IG_VioletBox,7563,1		// 血色的輪
IG_VioletBox,7564,1		// 發臭的魚
IG_VioletBox,7565,1		// 黏黏的毒液
IG_VioletBox,7567,1		// 异常的帽子
IG_VioletBox,7568,1		// 白色面具
IG_VioletBox,7751,17	// 破舊的白衣
IG_VioletBox,7752,16	// 抖落的骷髏
IG_VioletBox,7753,17	// 斷裂的農器具
IG_VioletBox,10001,7	// 牛角骨盔
IG_VioletBox,10002,7	// 寵物防毒面具
IG_VioletBox,10003,7	// 潛水帽子
IG_VioletBox,10004,7	// 寵物奶嘴
IG_VioletBox,10005,7	// 三色假發
IG_VioletBox,10006,7	// 蛇飾發箍
IG_VioletBox,10007,7	// 寵物發帶
IG_VioletBox,10008,7	// 体罰棒
IG_VioletBox,10009,7	// 野生花
IG_VioletBox,10010,7	// 變形鍋子
IG_VioletBox,10011,7	// 寵物發夾
IG_VioletBox,10012,7	// 寵物蛋殼帽
IG_VioletBox,10013,7	// 寵物書包
IG_VioletBox,10014,7	// 蝗虫眼鏡
IG_VioletBox,10015,7	// 寵物圍兜兜
IG_VioletBox,10016,7	// 寵物鈴鐺
IG_VioletBox,10017,7	// 樹皮褲
IG_VioletBox,10018,7	// 猴子發箍
IG_VioletBox,10019,7	// 紅色領巾
IG_VioletBox,10020,7	// 靈幻道士之劍
IG_VioletBox,13001,1	// 天龍短劍
IG_VioletBox,13002,1	// 卡卡普劍
IG_VioletBox,13004,1	// 考爾德短刀
IG_VioletBox,13163,1	// 長身來复槍
IG_VioletBox,13164,1	// 長身來复槍
IG_VioletBox,13167,1	// 短口創DD
IG_VioletBox,13168,1	// THUNDER-P
IG_VioletBox,13170,2	// 优化的來复槍
IG_VioletBox,13200,1	// 子彈
IG_VioletBox,13201,1	// 銀色子彈
IG_VioletBox,13202,1	// 紅色子彈
IG_VioletBox,13203,1	// 火焰子彈
IG_VioletBox,13204,1	// 雷擊子彈
IG_VioletBox,13205,1	// 毒物子彈
IG_VioletBox,13206,1	// 暗盲子彈
IG_VioletBox,13207,1	// 冰凍子彈
IG_VioletBox,13304,1	// 風魔飛鏢:啟明星
