// Old Blue Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

IG_BlueBox,501,12	// 紅色藥水
IG_BlueBox,2229,3	// 金屬頭盔
IG_BlueBox,2230,3	// 寶石頭盔
IG_BlueBox,2231,3	// 寶石頭盔
IG_BlueBox,2232,3	// 頭箍
IG_BlueBox,2233,3	// 頭箍
IG_BlueBox,2236,3	// 圣誕帽
IG_BlueBox,2239,3	// 單眼眼鏡
IG_BlueBox,2241,3	// 白胡須
IG_BlueBox,2242,3	// 高級太陽眼鏡
IG_BlueBox,2243,3	// 旋轉眼鏡
IG_BlueBox,2244,3	// 紅蝶發帶
IG_BlueBox,2245,3	// 紳士帽
IG_BlueBox,2246,3	// 黃金帽
IG_BlueBox,2247,3	// 回憶帽
IG_BlueBox,2248,3	// 牛仔帽
IG_BlueBox,2249,1	// 黃金冠冕
IG_BlueBox,2250,3	// 粉紗發圈
IG_BlueBox,2251,3	// 神圣之帽
IG_BlueBox,2252,3	// 魔法帽
IG_BlueBox,2253,3	// 向日葵頭飾
IG_BlueBox,2254,1	// 天使發圈
IG_BlueBox,2255,1	// 惡魔發圈
IG_BlueBox,2257,3	// 獸角頭飾
IG_BlueBox,2258,1	// 尖角發圈
IG_BlueBox,2259,3	// 竹蜻蜓發圈
IG_BlueBox,2260,3	// 迷你眼鏡
IG_BlueBox,2261,3	// 普隆德拉軍帽
IG_BlueBox,2262,3	// 小丑鼻子
IG_BlueBox,2263,3	// 時髦眼罩
IG_BlueBox,2265,3	// 侍衛口罩
IG_BlueBox,2266,3	// 金屬口罩
IG_BlueBox,2267,3	// 香煙
IG_BlueBox,2268,3	// 煙斗
IG_BlueBox,2269,3	// 花葉
IG_BlueBox,2270,3	// 草葉
IG_BlueBox,2271,3	// 眼鏡頭飾
IG_BlueBox,2274,1	// 亡者發箍
IG_BlueBox,2275,3	// 頭巾
IG_BlueBox,2276,3	// 大眼睛眼鏡
IG_BlueBox,2277,3	// 護士帽
IG_BlueBox,2278,3	// 笑臉面具
IG_BlueBox,2279,3	// 火線頭飾
IG_BlueBox,2282,3	// 光環
IG_BlueBox,2285,3	// 苹果頭飾
IG_BlueBox,2287,3	// 海盜頭巾
IG_BlueBox,2288,3	// 整人面具
IG_BlueBox,2289,3	// 糞便帽
IG_BlueBox,2290,3	// 葬禮帽
IG_BlueBox,2291,3	// 蝴蝶假面
IG_BlueBox,2294,3	// 星星發夾
IG_BlueBox,2295,3	// 眼罩
IG_BlueBox,2297,3	// 哥布靈面具
IG_BlueBox,2298,3	// 触角頭飾
IG_BlueBox,2299,3	// 獸人頭盔
IG_BlueBox,2301,3	// 棉襯衫
IG_BlueBox,2302,3	// 棉襯衫
IG_BlueBox,2303,3	// 皮制外套
IG_BlueBox,2304,3	// 皮制外套
IG_BlueBox,2305,3	// 冒險衣
IG_BlueBox,2306,3	// 冒險衣
IG_BlueBox,2307,3	// 大衣
IG_BlueBox,2308,3	// 大衣
IG_BlueBox,2309,3	// 長大衣
IG_BlueBox,2310,3	// 長大衣
IG_BlueBox,2311,3	// 毛皮大衣
IG_BlueBox,2312,3	// 鐵制盔甲
IG_BlueBox,2313,3	// 鐵制盔甲
IG_BlueBox,2314,3	// 鋼鐵鎖子甲
IG_BlueBox,2315,3	// 鋼鐵鎖子甲
IG_BlueBox,2316,3	// 鋼鐵盔甲
IG_BlueBox,2317,3	// 鋼鐵盔甲
IG_BlueBox,2318,3	// 秘衣 美德
IG_BlueBox,2320,3	// 西裝外套
IG_BlueBox,2321,3	// 絲質外袍
IG_BlueBox,2322,3	// 絲質外袍
IG_BlueBox,2323,3	// 圣職之袍
IG_BlueBox,2324,3	// 圣職之袍
IG_BlueBox,2325,3	// 圣職之衣
IG_BlueBox,2326,3	// 圣職之衣
IG_BlueBox,2328,3	// 木制盔甲
IG_BlueBox,2329,3	// 木制盔甲
IG_BlueBox,2330,3	// 緊身便衣
IG_BlueBox,2331,3	// 緊身便衣
IG_BlueBox,2332,3	// 秘銀之衣
IG_BlueBox,2333,3	// 秘銀之衣
IG_BlueBox,2335,3	// 盜賊之衣
IG_BlueBox,2336,3	// 盜賊之衣
IG_BlueBox,2337,3	// 忍服 血櫻
IG_BlueBox,2339,3	// 三角褲
IG_BlueBox,2340,3	// 初學者胸鎧
IG_BlueBox,2341,3	// 秘銀金屬盔甲
IG_BlueBox,2352,3	// 初學者忍者斗篷
IG_BlueBox,2365,1	// 奧爾里昂的制服
IG_BlueBox,2401,3	// 輕便鞋
IG_BlueBox,2402,3	// 輕便鞋
IG_BlueBox,2403,3	// 長靴
IG_BlueBox,2404,3	// 長靴
IG_BlueBox,2405,3	// 戰士長靴
IG_BlueBox,2406,3	// 戰士長靴
IG_BlueBox,2407,3	// 玻璃鞋
IG_BlueBox,2408,3	// 腳煉
IG_BlueBox,2409,3	// 抗魔鞋
IG_BlueBox,2411,3	// 重靴
IG_BlueBox,2414,3	// 初學者海灘鞋
IG_BlueBox,2416,1	// 初學者長靴
IG_BlueBox,2420,1	// 天使的降臨
IG_BlueBox,2501,3	// 連帽披肩
IG_BlueBox,2502,3	// 連帽披肩
IG_BlueBox,2503,3	// 披肩
IG_BlueBox,2504,3	// 披肩
IG_BlueBox,2505,3	// 斗篷
IG_BlueBox,2506,3	// 斗篷
IG_BlueBox,2507,3	// 伯爵斗篷
IG_BlueBox,2508,3	// 抗魔斗篷
IG_BlueBox,2510,3	// 初學者陰險披肩
IG_BlueBox,2512,1	// 初學者斗篷
IG_BlueBox,2513,1	// 薄紗圍巾
IG_BlueBox,2514,1	// 護肩甲
IG_BlueBox,2515,1	// 老鷹之翅膀
IG_BlueBox,2601,3	// 力量戒指
IG_BlueBox,2602,3	// 智力耳環
IG_BlueBox,2603,3	// 体力項鏈
IG_BlueBox,2604,3	// 防御手套
IG_BlueBox,2605,3	// 敏捷別針
IG_BlueBox,2607,3	// 發夾
IG_BlueBox,2608,3	// 幸運珠鏈
IG_BlueBox,2609,3	// 骷髏戒指
IG_BlueBox,2610,3	// 金戒指
IG_BlueBox,2611,3	// 銀戒指
IG_BlueBox,2612,3	// 花戒指
IG_BlueBox,2613,3	// 鑽石戒指
IG_BlueBox,2617,3	// 智慧手套
IG_BlueBox,2618,3	// 黑狐項鏈
IG_BlueBox,2621,1	// 力量戒指
IG_BlueBox,2622,1	// 智力耳環
IG_BlueBox,2623,1	// 体力項鏈
IG_BlueBox,2624,1	// 防御手套
IG_BlueBox,2625,1	// 敏捷別針
IG_BlueBox,2626,1	// 幸運珠鏈
IG_BlueBox,2627,3	// 皮帶
IG_BlueBox,2628,3	// 初學者手鐲
IG_BlueBox,2652,1	// 受詛咒的幸運別針
IG_BlueBox,2654,1	// 火忍西怒畢的腰帶
IG_BlueBox,2656,1	// 過度的改變
IG_BlueBox,5002,1	// 首領冠冕
IG_BlueBox,5003,3	// 小丑帽
IG_BlueBox,5005,3	// 防毒面具
IG_BlueBox,5006,3	// 頹廢眼鏡
IG_BlueBox,5009,3	// 安全帽
IG_BlueBox,5010,3	// 印地安發箍
IG_BlueBox,5011,3	// 天線頭飾
IG_BlueBox,5014,3	// 劍士頭盔
IG_BlueBox,5015,3	// 蛋殼帽
IG_BlueBox,5030,3	// 熊貓帽
IG_BlueBox,5035,3	// 波利帽
IG_BlueBox,5037,3	// 水果皮帽
IG_BlueBox,5055,3	// 初學者蛋殼帽
IG_BlueBox,5085,1	// 紅色小發帶
IG_BlueBox,5088,3	// 嚇坏眼的假面
IG_BlueBox,5089,3	// 討厭的假面
IG_BlueBox,5090,3	// 哥布靈首領假面
IG_BlueBox,5111,1	// 啤酒企鵝之帽
IG_BlueBox,5112,1	// 超級初學者之帽
IG_BlueBox,5113,1	// 憤怒的嘴
IG_BlueBox,5114,1	// 軟呢帽
IG_BlueBox,5116,1	// 香蕉帽
IG_BlueBox,5118,1	// 小狗發圈
IG_BlueBox,5119,1	// 超級初學者之帽
IG_BlueBox,5120,1	// 軟呢帽
IG_BlueBox,5122,1	// 魔術無邊帽
IG_BlueBox,5175,1	// 匿名邀請
IG_BlueBox,7001,12	// 霉菌粉末
IG_BlueBox,7002,12	// 獸人之牙
IG_BlueBox,7003,12	// 虎蜥皮
IG_BlueBox,7004,12	// 泥團
IG_BlueBox,7005,12	// 骷髏頭
IG_BlueBox,7006,12	// 紅色蝙蝠翅膀
IG_BlueBox,7007,12	// 巨鼠指甲
IG_BlueBox,7008,12	// 鋼硬之角
IG_BlueBox,7009,12	// 彩色外皮
IG_BlueBox,7010,12	// 鐵蝎尾巴
IG_BlueBox,7011,12	// 猴子指甲
IG_BlueBox,7012,12	// 強韌鱗梗
IG_BlueBox,7013,12	// 珊瑚
IG_BlueBox,7014,12	// 破舊畫像
IG_BlueBox,7015,12	// 回憶書簽
IG_BlueBox,7016,12	// 老舊湯匙
IG_BlueBox,7026,12	// 鐘塔之鑰
IG_BlueBox,7027,12	// 鐘塔鑰匙
IG_BlueBox,7030,12	// 沙漠之狼之指甲
IG_BlueBox,7031,12	// 破舊平底鍋
IG_BlueBox,7032,12	// 蛋殼碎片
IG_BlueBox,7033,12	// 毒魔菇芽孢
IG_BlueBox,7034,12	// 破洞圣誕襪
IG_BlueBox,7035,12	// 火柴
IG_BlueBox,7036,12	// 卡侖之牙
IG_BlueBox,7038,12	// 毛線
IG_BlueBox,7041,12	// 黃晶沙的一角
IG_BlueBox,7047,12	// 愛麗絲的圍裙
IG_BlueBox,7048,12	// 獅鷲獸的指甲
IG_BlueBox,7049,12	// 石頭
IG_BlueBox,7053,12	// 賽依伐
IG_BlueBox,7054,12	// 布里刊
IG_BlueBox,7059,12	// 卡普拉倉庫免費利用券
IG_BlueBox,7060,12	// 卡普拉傳送點免費利用券
IG_BlueBox,7061,12	// 卡普拉手推車免費利用券
IG_BlueBox,7063,12	// 柔軟的羽毛
IG_BlueBox,7064,12	// 蜻蜓的翅膀
IG_BlueBox,7065,12	// 海獺的皮革
IG_BlueBox,7066,12	// 冰塊一角
IG_BlueBox,7067,12	// 石頭一角
IG_BlueBox,7068,12	// 燃燒一半的木材
IG_BlueBox,7069,12	// 破裂的盔甲一角
IG_BlueBox,7070,12	// 破裂的硬殼
IG_BlueBox,7071,12	// 破爛爛的衣服
IG_BlueBox,7072,12	// 鏽的飛鏢
IG_BlueBox,7093,12	// 齒輪
IG_BlueBox,7094,12	// 未知的碎片
IG_BlueBox,7095,12	// 金屬破片
IG_BlueBox,7096,12	// 凝固的岩漿
IG_BlueBox,7097,12	// 燃燒的心臟
IG_BlueBox,7098,12	// 火种
IG_BlueBox,7099,12	// 老舊魔法圖
IG_BlueBox,7100,12	// 尖銳的葉子
IG_BlueBox,7101,12	// 七彩大嘴鳥之羽
IG_BlueBox,7106,12	// 魔羌之角
IG_BlueBox,7107,12	// 魔羌之毛皮
IG_BlueBox,7108,12	// 盾牌的碎片
IG_BlueBox,7109,12	// 閃亮的槍錐
IG_BlueBox,7110,12	// 破裂之劍
IG_BlueBox,7111,12	// 光滑的紙
IG_BlueBox,7112,12	// 恐怖的紙刃
IG_BlueBox,7113,12	// 破碎的法老王象征
IG_BlueBox,7114,12	// 杜唐卡門面具
IG_BlueBox,7115,12	// 哈比的羽毛
IG_BlueBox,7116,12	// 哈比的指甲
IG_BlueBox,7117,12	// 撕裂的魔法書
IG_BlueBox,7118,12	// 撕裂的卷軸
IG_BlueBox,7119,12	// 菌絲
IG_BlueBox,7120,12	// 燃燒的馬蹄鐵
IG_BlueBox,7121,12	// 蜂蜜罐
IG_BlueBox,7122,12	// 炙熱的毛
IG_BlueBox,7123,12	// 龍皮
IG_BlueBox,7124,12	// 砂團
IG_BlueBox,7125,12	// 蝎子之螯
IG_BlueBox,7126,12	// 巨大杰勒比結晶
IG_BlueBox,7134,12	// 藥缽
IG_BlueBox,7135,12	// 火煙瓶
IG_BlueBox,7136,12	// 鹽酸瓶
IG_BlueBox,7137,12	// 噬人植物瓶
IG_BlueBox,7138,12	// 刺錘瓶
IG_BlueBox,7139,12	// 護貝藥
IG_BlueBox,7149,12	// 黃色碟子
IG_BlueBox,7150,12	// 竹筒
IG_BlueBox,7151,12	// 油紙
IG_BlueBox,7152,12	// 光澤的頭發
IG_BlueBox,7153,12	// 舊和服
IG_BlueBox,7154,12	// 毒粉
IG_BlueBox,7155,12	// 牛蛙之皮
IG_BlueBox,7156,12	// 破舊之手里劍
IG_BlueBox,7157,12	// 黑色覆面
IG_BlueBox,7158,12	// 破碎的酒缸
IG_BlueBox,7159,12	// 天狗的鼻子
IG_BlueBox,7161,12	// 拉鏈熊毛皮
IG_BlueBox,7162,12	// 片云
IG_BlueBox,7163,12	// 銳利的触角
IG_BlueBox,7164,12	// 石榴桃
IG_BlueBox,7165,12	// 害羞之服
IG_BlueBox,7166,12	// 柔軟的綢緞布
IG_BlueBox,7167,12	// 魔幻拉鏈
IG_BlueBox,7168,12	// 巨大翅膀
IG_BlueBox,7169,12	// 太极盤
IG_BlueBox,7171,12	// 花豹外皮
IG_BlueBox,7172,12	// 花豹指甲
IG_BlueBox,7174,12	// 緞帶
IG_BlueBox,7175,12	// 包裝紙
IG_BlueBox,7182,12	// 可可
IG_BlueBox,7186,12	// 細長梗
IG_BlueBox,7187,12	// 慶典面具
IG_BlueBox,7188,12	// 褐色樹根
IG_BlueBox,7189,12	// 樹木心臟
IG_BlueBox,7190,12	// 昆虫硬殼
IG_BlueBox,7191,12	// 紙燈籠
IG_BlueBox,7192,12	// 小風車手里刀
IG_BlueBox,7193,12	// 綠芽
IG_BlueBox,7194,12	// 柔軟的草葉
IG_BlueBox,7195,12	// 彈弓
IG_BlueBox,7196,12	// 木制護肩
IG_BlueBox,7197,12	// 強韌木藤條
IG_BlueBox,7198,12	// 巨大葉子
IG_BlueBox,7200,12	// 橡皮筋
IG_BlueBox,7201,12	// 木塊
IG_BlueBox,7202,12	// 巨象甲虫之螯
IG_BlueBox,7203,12	// 堅硬樹枝
IG_BlueBox,7205,12	// 黑色布條
IG_BlueBox,7206,12	// 黑貓娃娃
IG_BlueBox,7207,12	// 舊斗篷
IG_BlueBox,7208,12	// 生鏽廚刀
IG_BlueBox,7209,12	// 無顱武士的頭盔
IG_BlueBox,7210,12	// 無顱武士的盔甲一角
IG_BlueBox,7211,12	// 羅誡塔石頭碎片
IG_BlueBox,7212,12	// 吊頸娃娃
IG_BlueBox,7213,12	// 繡針包
IG_BlueBox,7214,12	// 蝙蝠籠子
IG_BlueBox,7215,12	// 斷針
IG_BlueBox,7216,12	// 紅色圍巾
IG_BlueBox,7217,12	// 纏線筒
IG_BlueBox,7218,12	// 腐爛的繩子
IG_BlueBox,7219,12	// 彩色襪子
IG_BlueBox,7220,12	// 綠色粘稠物
IG_BlueBox,7221,12	// 糾纏鐵鏈
IG_BlueBox,7222,12	// 原木塊
IG_BlueBox,7223,12	// 扭曲的自畫像
IG_BlueBox,7225,12	// 南瓜燈籠
IG_BlueBox,7262,12	// 折扇
IG_BlueBox,7263,12	// 貓眼石
IG_BlueBox,7264,12	// 干沙子
IG_BlueBox,7265,12	// 舞獅之角
IG_BlueBox,7266,12	// 舞獅的假牙
IG_BlueBox,7267,12	// 豹紋內褲
IG_BlueBox,7268,12	// 小鬼靈
IG_BlueBox,7269,12	// 圍兜兜
IG_BlueBox,7270,12	// 嬰儿的奶瓶
IG_BlueBox,7315,1	// 黑色水晶碎片
IG_BlueBox,7316,1	// 昆虫的長腿
IG_BlueBox,7317,1	// 生鏽的螺絲
IG_BlueBox,7318,1	// 老舊的十字鎬
IG_BlueBox,7319,1	// 老舊的鐵板
IG_BlueBox,7320,1	// 粉塵
IG_BlueBox,7321,1	// 水晶碎片
IG_BlueBox,7322,1	// 有毒瓦斯
IG_BlueBox,7323,1	// 變形水壺
IG_BlueBox,7325,1	// 軟管
IG_BlueBox,7326,1	// 熒光色的液体
IG_BlueBox,7327,1	// 怀中電燈
IG_BlueBox,7440,1	// 紅色羽毛
IG_BlueBox,7441,1	// 藍色羽毛
IG_BlueBox,7442,1	// 被詛咒的印
IG_BlueBox,7443,1	// 多頭龍的首級
IG_BlueBox,7444,1	// 財寶箱
IG_BlueBox,7445,1	// 綠色龍珠
IG_BlueBox,7446,1	// 藍色龍珠
IG_BlueBox,7447,1	// 紅色龍珠
IG_BlueBox,7448,1	// 黃色龍珠
IG_BlueBox,7449,1	// 染血的書頁
IG_BlueBox,7450,1	// 骨制盔甲的碎片
IG_BlueBox,7451,1	// 脫落的紅色龍鱗
IG_BlueBox,7452,1	// 黃色香料
IG_BlueBox,7453,1	// 甜醬汁
IG_BlueBox,7454,1	// 淡醬汁
IG_BlueBox,7455,1	// 辣醬汁
IG_BlueBox,7456,1	// 紅色香料
IG_BlueBox,7457,1	// 食用油
IG_BlueBox,7472,1	// 1級烹飪書
IG_BlueBox,7473,1	// 2級烹飪書
IG_BlueBox,7474,1	// 3級烹飪書
IG_BlueBox,7475,1	// 4級烹飪書
IG_BlueBox,7476,1	// 5級烹飪書
IG_BlueBox,7482,1	// 鍋
IG_BlueBox,7512,1	// 燒焦的部品碎片
IG_BlueBox,7513,1	// 怀表
IG_BlueBox,7561,15	// 冰塊心臟
IG_BlueBox,7562,15	// 冰塊鱗片
IG_BlueBox,7563,15	// 血色的輪
IG_BlueBox,7564,15	// 發臭的魚
IG_BlueBox,7565,15	// 黏黏的毒液
IG_BlueBox,7567,1	// 异常的帽子
IG_BlueBox,7568,1	// 白色面具
IG_BlueBox,7751,34	// 破舊的白衣
IG_BlueBox,7752,32	// 抖落的骷髏
IG_BlueBox,7753,34	// 斷裂的農器具
IG_BlueBox,10001,3	// 牛角骨盔
IG_BlueBox,10002,3	// 寵物防毒面具
IG_BlueBox,10003,3	// 潛水帽子
IG_BlueBox,10004,3	// 寵物奶嘴
IG_BlueBox,10005,3	// 三色假發
IG_BlueBox,10006,3	// 蛇飾發箍
IG_BlueBox,10007,3	// 寵物發帶
IG_BlueBox,10008,3	// 体罰棒
IG_BlueBox,10009,3	// 野生花
IG_BlueBox,10010,3	// 變形鍋子
IG_BlueBox,10011,3	// 寵物發夾
IG_BlueBox,10012,3	// 寵物蛋殼帽
IG_BlueBox,10013,3	// 寵物書包
IG_BlueBox,10014,3	// 蝗虫眼鏡
IG_BlueBox,10015,3	// 寵物圍兜兜
IG_BlueBox,10016,3	// 寵物鈴鐺
IG_BlueBox,10017,3	// 樹皮褲
IG_BlueBox,10018,3	// 猴子發箍
IG_BlueBox,10019,3	// 紅色領巾
IG_BlueBox,10020,3	// 靈幻道士之劍
IG_BlueBox,13000,1	// 刺棗短劍
IG_BlueBox,13001,1	// 天龍短劍
IG_BlueBox,13002,1	// 卡卡普劍
IG_BlueBox,13003,1	// 考爾德短刀
IG_BlueBox,13004,1	// 考爾德短刀
IG_BlueBox,13163,1	// 長身來复槍
IG_BlueBox,13164,1	// 長身來复槍
IG_BlueBox,13167,1	// 短口創DD
IG_BlueBox,13168,1	// THUNDER-P
IG_BlueBox,13170,2	// 优化的來复槍
IG_BlueBox,13200,1	// 子彈
IG_BlueBox,13201,1	// 銀色子彈
IG_BlueBox,13202,1	// 紅色子彈
IG_BlueBox,13203,1	// 火焰子彈
IG_BlueBox,13204,1	// 雷擊子彈
IG_BlueBox,13205,1	// 毒物子彈
IG_BlueBox,13206,1	// 暗盲子彈
IG_BlueBox,13207,1	// 冰凍子彈
IG_BlueBox,13304,1	// 風魔飛鏢:啟明星
